id,title,credits,raw_required,category,group,courseType
FL-111,English I-A,1,○,共通分野,外国語科目,required
FL-112,English I-B,1,○,共通分野,外国語科目,required
FL-113,English II-A,1,○,共通分野,外国語科目,required
FL-114,English II-B,1,○,共通分野,外国語科目,required
FL-115,English III-A,1,○,共通分野,外国語科目,required
FL-116,English III-B,1,○,共通分野,外国語科目,required
FL-117,Reading and Writing(2a),0.5,○,共通分野,外国語科目,required
FL-118,Reading and Writing(2b),0.5,○,共通分野,外国語科目,required
FL-211,Reading Comprehension,2,,共通分野,外国語科目,elective
FL-212,Debate & Discussion,2,,共通分野,外国語科目,elective
FL-213,Presentation Strategies,2,,共通分野,外国語科目,elective
FL-214,English Test Preparation,2,,共通分野,外国語科目,elective
FL-215,Writing Strategies,2,,共通分野,外国語科目,elective
FL-217,Test Taking Skills(1a),1,,共通分野,外国語科目,elective
FL-218,Test Taking Skills(1b),1,,共通分野,外国語科目,elective
FL-219,Test Taking Skills(2a),1,,共通分野,外国語科目,elective
FL-21F,Critical Listening(1a),1,,共通分野,外国語科目,elective
FL-21G,Critical Listening(1b),1,,共通分野,外国語科目,elective
FL-21H,Critical Listening(2a),1,,共通分野,外国語科目,elective
FL-21I,Critical Listening(2b),1,,共通分野,外国語科目,elective
FL-21J,Communication Strategies(1a),1,,共通分野,外国語科目,elective
FL-21K,Communication Strategies(1b),1,,共通分野,外国語科目,elective
FL-21L,Communication Strategies(2a),1,,共通分野,外国語科目,elective
FL-21M,Communication Strategies(2b),1,,共通分野,外国語科目,elective
FL-21N,Academic English(1a),1,,共通分野,外国語科目,elective
FL-21O,Academic English(1b),1,,共通分野,外国語科目,elective
FL-21P,Academic English(2a),1,,共通分野,外国語科目,elective
FL-21Q,Academic English(2b),1,,共通分野,外国語科目,elective
FL-221,Literature in English(1a),1,,共通分野,外国語科目,elective
FL-222,Literature in English(1b),1,,共通分野,外国語科目,elective
FL-223,Literature in English(2a),1,,共通分野,外国語科目,elective
FL-224,Literature in English(2b),1,,共通分野,外国語科目,elective
FL-229,Language Sciences(1a),1,,共通分野,外国語科目,elective
FL-22A,Test Taking Skills(2b),1,,共通分野,外国語科目,elective
FL-22B,Critical Reading(1a),1,,共通分野,外国語科目,elective
FL-22C,Critical Reading(1b),1,,共通分野,外国語科目,elective
FL-22D,Critical Reading(2a),1,,共通分野,外国語科目,elective
FL-22E,Critical Reading(2b),1,,共通分野,外国語科目,elective
FL-22F,Language Sciences(1b),1,,共通分野,外国語科目,elective
FL-22G,Language Sciences(2a),1,,共通分野,外国語科目,elective
FL-22H,Language Sciences(2b),1,,共通分野,外国語科目,elective
FL-241,ドイツ語(1a),1,,共通分野,外国語科目,elective
FL-242,ドイツ語(1b),1,,共通分野,外国語科目,elective
FL-243,ドイツ語(2a),1,,共通分野,外国語科目,elective
FL-244,ドイツ語(2b),1,,共通分野,外国語科目,elective
FL-245,フランス語(1a),1,,共通分野,外国語科目,elective
FL-246,フランス語(1b),1,,共通分野,外国語科目,elective
FL-247,フランス語(2a),1,,共通分野,外国語科目,elective
FL-248,フランス語(2b),1,,共通分野,外国語科目,elective
FL-249,スペイン語(1a),1,,共通分野,外国語科目,elective
FL-24A,スペイン語(1b),1,,共通分野,外国語科目,elective
FL-24B,スペイン語(2a),1,,共通分野,外国語科目,elective
FL-24C,スペイン語(2b),1,,共通分野,外国語科目,elective
FL-24D,イタリア語(1a),1,,共通分野,外国語科目,elective
FL-24E,イタリア語(1b),1,,共通分野,外国語科目,elective
FL-24F,イタリア語(2a),1,,共通分野,外国語科目,elective
FL-24G,イタリア語(2b),1,,共通分野,外国語科目,elective
FL-24H,中国語(1a),1,,共通分野,外国語科目,elective
FL-24I,中国語(1b),1,,共通分野,外国語科目,elective
FL-24J,中国語(2a),1,,共通分野,外国語科目,elective
FL-24K,中国語(2b),1,,共通分野,外国語科目,elective
FL-24L,アラビア語(1a),1,,共通分野,外国語科目,elective
FL-24M,アラビア語(1b),1,,共通分野,外国語科目,elective
FL-24N,アラビア語(2a),1,,共通分野,外国語科目,elective
FL-24O,アラビア語(2b),1,,共通分野,外国語科目,elective
FL-24P,韓国語(1a),1,,共通分野,外国語科目,elective
FL-24Q,韓国語(1b),1,,共通分野,外国語科目,elective
FL-24R,韓国語(2a),1,,共通分野,外国語科目,elective
FL-24S,韓国語(2b),1,,共通分野,外国語科目,elective
FL-24T,日本語表現(a),1,,共通分野,外国語科目,elective
FL-24U,日本語表現(b),1,,共通分野,外国語科目,elective
FL-311,Academic Reading,2,△,共通分野,外国語科目,elective-required
FL-312,Academic Discussion,2,△,共通分野,外国語科目,elective-required
FL-313,Critical Reading(3a),1,,共通分野,外国語科目,elective
FL-314,Critical Reading(3b),1,,共通分野,外国語科目,elective
FL-315,Critical Listening(3a),1,,共通分野,外国語科目,elective
FL-316,Critical Listening(3b),1,,共通分野,外国語科目,elective
FL-317,Communication Strategies(3a),1,,共通分野,外国語科目,elective
FL-318,Communication Strategies(3b),1,,共通分野,外国語科目,elective
FL-319,Academic English(3a),1,,共通分野,外国語科目,elective
FL-31A,Academic English(3b),1,,共通分野,外国語科目,elective
FL-931,海外・特別選抜セミナー,2,,共通分野,外国語科目,elective
FL-932,外国語特別講義(1a),1,,共通分野,外国語科目,elective
FL-933,外国語特別講義(1b),1,,共通分野,外国語科目,elective
FL-934,外国語特別講義(2a),1,,共通分野,外国語科目,elective
FL-935,外国語特別講義(2b),1,,共通分野,外国語科目,elective
HP-101,ことづくり,1,,副専攻・ひらめき,ひらめきプログラム,elective
HP-201,デザインリサーチ,2,,副専攻・ひらめき,ひらめきプログラム,elective
HP-301,サステナビリティ,2,,副専攻・ひらめき,ひらめきプログラム,elective
HP-901,デザインシンキング,2,,副専攻・ひらめき,ひらめきプログラム,elective
HP-902,アイデアソン演習,1,,副専攻・ひらめき,ひらめきプログラム,elective
HP-903,ハッカソン演習,1,,副専攻・ひらめき,ひらめきプログラム,elective
HP-904,ビジネスコンテスト演習,1,,副専攻・ひらめき,ひらめきプログラム,elective
HP-905,フィールドリサーチ,2,,副専攻・ひらめき,ひらめきプログラム,elective
IS-112,プログラミング入門,2,○,専門分野,専門科目,required
IS-113,プログラミング基礎,2,○,専門分野,専門科目,required
IS-211,数理統計,2,※MS ○,専門分野,専門科目,required
IS-212,アルゴリズム基礎,2,○,専門分野,専門科目,required
IS-213,デジタル信号処理,2,○,専門分野,専門科目,required
IS-214,プログラミング応用,2,,専門分野,専門科目,elective
IS-215,知能情報数学入門,2,※DS ○,専門分野,専門科目,required
IS-216,情報理論,2,○,専門分野,専門科目,required
IS-311,知能情報工学演習(a),0.5,※DS ○,専門分野,専門科目,required
IS-312,知能情報工学演習(b),0.5,※DS ○,専門分野,専門科目,required
IS-313,知能情報数学基礎,2,○,専門分野,専門科目,required
IS-314,アルゴリズム応用,2,,専門分野,専門科目,elective
IS-315,知能情報数学発展,2,,専門分野,専門科目,elective
IS-317,実験デザイン,2,,専門分野,専門科目,elective
IS-318,時系列解析,2,,専門分野,専門科目,elective
IS-319,英語論文読解,2,○,専門分野,専門科目,required
IS-322,知的経営経営情報システム,2,,専門分野,専門科目,elective
IS-323,システムグローバル企業マネジメント,2,,専門分野,専門科目,elective
IS-332,マーケティング・サイエンス,2,,専門分野,専門科目,elective
IS-341,知的情報処理,2,○,専門分野,専門科目,required
IS-342,機械学習,2,※DS,専門分野,専門科目,elective
IS-343,人工知能コンピューテーショナルモデリング,2,,専門分野,専門科目,elective
IS-344,神経数理モデリング,2,,専門分野,専門科目,elective
IS-345,生体信号処理,2,,専門分野,専門科目,elective
IS-346,深層学習,2,,専門分野,専門科目,elective
IS-347,深層学習応用事例,2,,専門分野,専門科目,elective
IS-351,人間工学,2,,専門分野,専門科目,elective
IS-352,人間情報認知工学,2,,専門分野,専門科目,elective
IS-363,コンピュータネットワーク,2,,専門分野,専門科目,elective
IS-364,知能情報数学応用,2,,専門分野,専門科目,elective
IS-365,ネットワークセキュリティと管理,2,,専門分野,専門科目,elective
IS-491,事例研究,2,○,専門分野,専門科目,required
IS-492,卒業研究(1),3,○,専門分野,専門科目,required
IS-493,卒業研究(2),3,○,専門分野,専門科目,required
IS-911,特別講義(ＩＳ－1),2,,専門分野,専門科目,elective
IS-912,特別講義(ＩＳ－2),2,,専門分野,専門科目,elective
IS-913,特別講義(ＩＳ－3),2,,専門分野,専門科目,elective
IT-111,微分積分学(1a),1,※MS ○,専門分野,情報工学基盤科目,required
IT-112,微分積分学(1b),1,※MS ○,専門分野,情報工学基盤科目,required
IT-113,線形代数学(1a),1,※MS ○,専門分野,情報工学基盤科目,required
IT-114,線形代数学(1b),1,※MS ○,専門分野,情報工学基盤科目,required
IT-115,基礎確率統計,2,※MS ○,専門分野,情報工学基盤科目,required
IT-116,数学演習(1a),0.5,△3,専門分野,情報工学基盤科目,elective-required
IT-117,数学演習(1b),0.5,△3,専門分野,情報工学基盤科目,elective-required
IT-121,物理学(1),2,△1 ○,専門分野,情報工学基盤科目,elective-required
IT-122,物理学(1)演習,1,,専門分野,情報工学基盤科目,elective
IT-123,物理学実験(a),1,△2,専門分野,情報工学基盤科目,elective-required
IT-124,物理学実験(b),1,△2,専門分野,情報工学基盤科目,elective-required
IT-125,化学(1),2,△1,専門分野,情報工学基盤科目,elective-required
IT-126,化学実験,2,△2,専門分野,情報工学基盤科目,elective-required
IT-127,生物学(1),2,△1,専門分野,情報工学基盤科目,elective-required
IT-128,生物学実験(a),1,△2,専門分野,情報工学基盤科目,elective-required
IT-129,生物学実験(b),1,△2,専門分野,情報工学基盤科目,elective-required
IT-12A,地学(1),2,,専門分野,情報工学基盤科目,elective
IT-12B,地学実験(a),1,△2,専門分野,情報工学基盤科目,elective-required
IT-12C,地学実験(b),1,△2,専門分野,情報工学基盤科目,elective-required
IT-131,情報リテラシー,2,○,専門分野,情報工学基盤科目,required
IT-132,コンピュータ概論,2,○,専門分野,情報工学基盤科目,required
IT-134,キャリアデザイン,1,○,専門分野,情報工学基盤科目,required
IT-137,SD PBL(1),1,○,専門分野,情報工学基盤科目,required
IT-211,微分積分学(2a),1,※MS ○,専門分野,情報工学基盤科目,required
IT-212,微分積分学(2b),1,※MS ○,専門分野,情報工学基盤科目,required
IT-213,線形代数学(2a),1,※MS ○,専門分野,情報工学基盤科目,required
IT-214,線形代数学(2b),1,※MS ○,専門分野,情報工学基盤科目,required
IT-215,数学演習(2a),0.5,△3,専門分野,情報工学基盤科目,elective-required
IT-216,数学演習(2b),0.5,△3,専門分野,情報工学基盤科目,elective-required
IT-221,物理学(2),2,△1,専門分野,情報工学基盤科目,elective-required
IT-222,化学(2),2,△1,専門分野,情報工学基盤科目,elective-required
IT-223,生物学(2),2,△1,専門分野,情報工学基盤科目,elective-required
IT-224,地学(2),2,,専門分野,情報工学基盤科目,elective
IT-231,数値解析,2,○,専門分野,情報工学基盤科目,required
IT-232,技術者倫理,1,○,専門分野,情報工学基盤科目,required
IT-234,情報社会と職業(a),1,,専門分野,情報工学基盤科目,elective
IT-235,情報社会と職業(b),1,,専門分野,情報工学基盤科目,elective
IT-236,情報と特許,2,○,専門分野,情報工学基盤科目,required
IT-237,SD PBL(2),1,○,専門分野,情報工学基盤科目,required
IT-311,微分方程式論,2,△3,専門分野,情報工学基盤科目,elective-required
IT-312,ベクトル解析学,2,△3,専門分野,情報工学基盤科目,elective-required
IT-313,フーリエ解析学,2,△3,専門分野,情報工学基盤科目,elective-required
IT-314,代数学,2,△3,専門分野,情報工学基盤科目,elective-required
IT-337,SD PBL(3),1,○,専門分野,情報工学基盤科目,required
IT-931,インターンシップ(1),1,,専門分野,情報工学基盤科目,elective
IT-932,インターンシップ(2),1,,専門分野,情報工学基盤科目,elective
IT-933,インターンシップ(3),1,,専門分野,情報工学基盤科目,elective
IT-934,インターンシップ(4),1,,専門分野,情報工学基盤科目,elective
IT-935,海外体験実習(1),1,,専門分野,情報工学基盤科目,elective
IT-936,海外体験実習(2),1,,専門分野,情報工学基盤科目,elective
IT-937,海外体験実習(3),1,,専門分野,情報工学基盤科目,elective
IT-938,海外体験実習(4),1,,専門分野,情報工学基盤科目,elective
IT-939,特別講義(IT-1),2,,専門分野,情報工学基盤科目,elective
IT-93A,特別講義(IT-2),2,,専門分野,情報工学基盤科目,elective
LA-111,哲学(1),2,G,共通分野,教養科目,elective
LA-112,哲学(2),2,G,共通分野,教養科目,elective
LA-113,倫理学(1),2,,共通分野,教養科目,elective
LA-114,倫理学(2),2,,共通分野,教養科目,elective
LA-115,倫理学(a),1,,共通分野,教養科目,elective
LA-116,倫理学(b),1,,共通分野,教養科目,elective
LA-117,文化人類学,2,,共通分野,教養科目,elective
LA-118,視覚芸術史(1),2,G,共通分野,教養科目,elective
LA-119,視覚芸術史(2),2,G,共通分野,教養科目,elective
LA-11A,日本史(1),2,G,共通分野,教養科目,elective
LA-11B,日本史(2),2,G,共通分野,教養科目,elective
LA-11C,西洋史(1),2,G,共通分野,教養科目,elective
LA-11D,西洋史(2),2,G,共通分野,教養科目,elective
LA-11E,民俗学(a),1,G,共通分野,教養科目,elective
LA-11F,民俗学(b),1,G,共通分野,教養科目,elective
LA-11G,宗教学,2,G,共通分野,教養科目,elective
LA-121,社会学(1a),1,,共通分野,教養科目,elective
LA-122,社会学(1b),1,,共通分野,教養科目,elective
LA-123,社会学(2a),1,,共通分野,教養科目,elective
LA-124,社会学(2b),1,,共通分野,教養科目,elective
LA-125,社会学入門(a),1,,共通分野,教養科目,elective
LA-126,社会学入門(b),1,,共通分野,教養科目,elective
LA-127,経済学(1a),1,,共通分野,教養科目,elective
LA-128,経済学(1b),1,,共通分野,教養科目,elective
LA-129,経済学(2a),1,,共通分野,教養科目,elective
LA-12A,経済学(2b),1,,共通分野,教養科目,elective
LA-12B,政治学(1a),1,,共通分野,教養科目,elective
LA-12C,政治学(1b),1,,共通分野,教養科目,elective
LA-12D,政治学(2a),1,,共通分野,教養科目,elective
LA-12E,政治学(2b),1,,共通分野,教養科目,elective
LA-12F,国際関係論(1a),1,G,共通分野,教養科目,elective
LA-12G,国際関係論(1b),1,G,共通分野,教養科目,elective
LA-12H,国際関係論(2a),1,G,共通分野,教養科目,elective
LA-12I,国際関係論(2b),1,G,共通分野,教養科目,elective
LA-12J,日本国憲法,2,,共通分野,教養科目,elective
LA-12K,法学,2,,共通分野,教養科目,elective
LA-12L,民法,2,,共通分野,教養科目,elective
LA-12M,西洋経済史,2,G,共通分野,教養科目,elective
LA-12N,人文地理学(a),1,,共通分野,教養科目,elective
LA-12O,人文地理学(b),1,,共通分野,教養科目,elective
LA-12P,現代中国論,2,G,共通分野,教養科目,elective
LA-131,教育学(1a),1,,共通分野,教養科目,elective
LA-132,教育学(1b),1,,共通分野,教養科目,elective
LA-133,教育学(2a),1,,共通分野,教養科目,elective
LA-134,教育学(2b),1,,共通分野,教養科目,elective
LA-135,スポーツ・健康論,2,,共通分野,教養科目,elective
LA-136,心理学(1a),1,,共通分野,教養科目,elective
LA-137,心理学(1b),1,,共通分野,教養科目,elective
LA-138,心理学(2a),1,,共通分野,教養科目,elective
LA-139,心理学(2b),1,,共通分野,教養科目,elective
LA-13C,心理学入門,2,,共通分野,教養科目,elective
LA-13D,社会とジェンダー(a),1,,共通分野,教養科目,elective
LA-13E,社会とジェンダー(b),1,,共通分野,教養科目,elective
LA-13F,日本文化の伝承(a),1,G,共通分野,教養科目,elective
LA-13G,日本文化の伝承(b),1,G,共通分野,教養科目,elective
LA-13H,日本文化論,2,G,共通分野,教養科目,elective
LA-141,論理学(1a),1,,共通分野,教養科目,elective
LA-142,論理学(1b),1,,共通分野,教養科目,elective
LA-143,論理学(2a),1,,共通分野,教養科目,elective
LA-144,論理学(2b),1,,共通分野,教養科目,elective
LA-145,データサイエンスリテラシー(1),1,※DS,共通分野,教養科目,elective
LA-146,現代の物理(a),1,,共通分野,教養科目,elective
LA-147,現代の物理(b),1,,共通分野,教養科目,elective
LA-148,現代の化学,2,,共通分野,教養科目,elective
LA-149,現代の地学,2,,共通分野,教養科目,elective
LA-14A,情報通信入門,2,,共通分野,教養科目,elective
LA-14B,情報編集入門,2,,共通分野,教養科目,elective
LA-14C,環境問題と社会,2,,共通分野,教養科目,elective
LA-14D,情報社会入門,2,,共通分野,教養科目,elective
LA-14E,情報演習基礎(a),1,,共通分野,教養科目,elective
LA-14F,情報演習基礎(b),1,,共通分野,教養科目,elective
LA-14G,情報処理入門,2,,共通分野,教養科目,elective
LA-14H,文系のための数理基礎,2,※MS,共通分野,教養科目,elective
LA-211,デザイン概論(1),2,G,共通分野,教養科目,elective
LA-212,デザイン概論(2),2,G,共通分野,教養科目,elective
LA-213,日本文学,2,G,共通分野,教養科目,elective
